session,env,arm,joint,n_samples,zerolag_mae_deg,zerolag_rms_deg,zerolag_p95_deg,zerolag_max_deg,lag_k_ms,lag_xcorr_r,lag_censored,lagcomp_mae_deg,lagcomp_rms_deg,lagcomp_p95_deg,lagcomp_max_deg,steady_n_samples,steady_mae_deg,steady_rms_deg,steady_p95_deg,steady_max_deg,steady_bias_deg
episode_0023,sim,left,shoulder_yaw,90,0.6270496187822234,1.0822246261149029,2.8990487934499103,3.6029326087876443,0.0,0.994,False,0.6270496187822234,1.0822246261149029,2.8990487934499103,3.6029326087876443,75,0.28259605435769247,0.4004392838101012,0.9065094598642939,1.1562736004263452,0.28259605435769247
episode_0023,sim,left,elbow,90,2.728423356063309,4.06923890107487,11.206366943769039,14.108295203560619,633.3,0.9978,False,1.3098415920236135,1.3102080492551813,1.356374160230125,1.4660471138244286,59,1.3919633524174306,1.397316932181202,1.6967986406255455,1.7966394013211833,1.3919633524174306
episode_0023,sim,left,wrist_roll,90,0.34278391571134575,0.3684453763813554,0.48304284617810445,0.5913211308580184,166.7,0.9714,False,0.34655008130475734,0.37055368891131774,0.4811377096181039,0.4891811175291948,75,0.34412979686230744,0.36775254678688757,0.4749211097719598,0.48304284617810445,-0.34412979686230744
episode_0023,sim,right,shoulder_pitch,90,2.4080709310370763,4.621425674518191,12.840092616855571,14.50551353663852,0.0,0.9989,False,2.4080709310370763,4.621425674518191,12.840092616855571,14.50551353663852,59,0.32749619637413113,0.38270490164575804,0.7854078660535847,0.9728118566666559,-0.32749619637413113
episode_0023,sim,right,shoulder_roll,90,0.6727146072358765,0.7011752882850564,1.1445868470871665,1.2410120661095163,1933.3,0.9953,False,0.2655835709104864,0.27340023309704864,0.3620092131333763,0.3696770638295301,75,0.5900782200143252,0.5931357720763132,0.7256145018253122,0.8600792714758481,0.5900782200143252
episode_0023,sim,right,shoulder_yaw,90,0.6485701877045481,1.0799578558025518,2.8803416985732495,3.565796526609152,833.3,0.9952,False,0.10139354922686332,0.10430505566718282,0.1562369176440697,0.20397426883855552,75,0.31092580965809247,0.4134618662920314,0.9152175405472546,1.1610193604583676,-0.31092580965809247
episode_0023,sim,right,elbow,90,2.7220357583394463,4.069385422585598,11.204423175705024,14.142168459501105,633.3,0.9979,False,1.3012804707631658,1.3016924073006042,1.3476410544407624,1.4591540320935632,59,1.3816184944120116,1.3877122345806148,1.7012319513426757,1.830041348815735,1.3816184944120116
episode_0023,sim,right,wrist_roll,90,0.3369719762133431,0.36812839987401014,0.5029559185833001,0.6423229592341831,200.0,0.9906,False,0.33885573030250576,0.3665249091950377,0.5092128902302899,0.5128093389574029,75,0.33040038630805,0.3597983544735508,0.5002809303337004,0.5035435694650767,0.33040038630805
episode_0024,sim,left,shoulder_pitch,63,0.06085290012657127,0.06279244784675794,0.08530061860764633,0.0858532122884661,0.0,0.9401,False,0.06085290012657127,0.06279244784675794,0.08530061860764633,0.0858532122884661,48,0.05380446146050296,0.054770727963682396,0.0726029117820298,0.07833182929823934,-0.05380446146050296
episode_0024,sim,left,shoulder_roll,63,0.5258424876217472,0.5258535943896474,0.529975351993631,0.531438748238874,100.0,0.6862,False,0.5256144533965024,0.525624813196158,0.5294865441861619,0.5310104724984317,48,0.5274462285012684,0.5274491261631336,0.5300720026180982,0.531438748238874,-0.5274462285012684
episode_0024,sim,left,shoulder_yaw,63,0.055695194311855684,0.05633845842453033,0.06892138722734735,0.0695061381198574,0.0,0.8759,False,0.055695194311855684,0.05633845842453033,0.06892138722734735,0.0695061381198574,48,0.05933646847194912,0.05964636406764418,0.06929898906726968,0.0695061381198574,-0.05933646847194912
episode_0024,sim,left,elbow,63,1.2413083220212011,1.241315492195825,1.2478593140413818,1.2480453379638359,0.0,0.6544,False,1.2413083220212011,1.241315492195825,1.2478593140413818,1.2480453379638359,48,1.2406790821851266,1.2406868573412866,1.2463535094780045,1.2480098295342916,1.2406790821851266
episode_0024,sim,left,wrist_roll,63,0.5342340994372733,0.5344158553414733,0.5516459895621347,0.5529518578569094,0.0,0.9743,False,0.5342340994372733,0.5344158553414733,0.5516459895621347,0.5529518578569094,48,0.5405100322929556,0.5405634307262448,0.552223692723523,0.5529518578569094,-0.5405100322929556
episode_0024,sim,right,shoulder_pitch,63,0.06733553643621235,0.06740758788251128,0.07164300129059313,0.0717690298890119,666.7,-0.3677,False,0.0662489852348201,0.06629434946456678,0.0694763125535232,0.07145484118719025,48,0.06624457391629053,0.06630093861521458,0.07058886259300153,0.07144570288609131,-0.06624457391629053
episode_0024,sim,right,shoulder_roll,63,0.5363921712327523,0.5364165566253597,0.5448002271475638,0.5455887207454255,866.7,-0.469,False,0.5370356868077527,0.5370423223976485,0.540621000980884,0.5414648264814748,48,0.5342306176868585,0.5342433630569355,0.538869975621069,0.5391018502920317,0.5342306176868585
episode_0024,sim,right,shoulder_yaw,63,0.0286592898759851,0.031398139797626026,0.04722506401164503,0.04886139081356511,100.0,0.982,False,0.02752249154845859,0.03015510477252532,0.04442998556145041,0.04740698740717608,48,0.02363952499991895,0.02582214210570551,0.036530878381678455,0.03967572006678832,0.02363952499991895
episode_0024,sim,right,elbow,63,1.166885012145948,1.1669404365958218,1.184412307208472,1.1854401702907111,0.0,0.9864,False,1.166885012145948,1.1669404365958218,1.184412307208472,1.1854401702907111,48,1.1708450238734665,1.170889146345621,1.1849462493211682,1.1854401702907111,1.1708450238734665
episode_0024,sim,right,wrist_roll,63,0.5227955340121695,0.5228783086611446,0.5381577314395256,0.5393388291235887,0.0,0.9639,False,0.5227955340121695,0.5228783086611446,0.5381577314395256,0.5393388291235887,48,0.5195003695385402,0.5195588605963015,0.5319946305361271,0.5352818206503004,0.5195003695385402
